Column1	AW146154	Gm13051	Gm13139	Gm13152	Gm13154	Gm13157	Gm21082	Gm30910	LOC102	Rex2	Zfp46	Zfp534	Zfp599	Zfp600	Zfp617	Zfp661	Zfp810	Zfp882	Zfp961
BGLII_B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
ETnERV2-int	0	300	26	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	95
ETnERV3-int	0	7	0	10	22	3	0	0	0	0	0	0	0	0	0	0	0	0	22
ETnERV-int	0	43	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	122
IAPEY_LTR	0	0	0	0	21	0	0	0	0	0	0	0	2	0	0	0	0	0	0
IAPEY2_LTR	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	0	0	0	0
IAPEY3_LTR	0	0	0	0	2	14	0	0	0	0	0	0	0	0	0	0	0	0	0
IAPLTR1_Mm	0	0	0	0	1	0	300	0	0	0	0	0	0	0	0	0	0	0	0
IAPLTR1a_Mm	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0
IAPLTR2_Mm	0	0	0	0	0	0	42	0	0	0	0	2	0	0	0	0	0	0	0
IAPLTR2a	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	1
IAPLTR2b	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	1
IAPLTR3	0	0	0	2	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
IAPLTR4	0	0	0	0	1	300	0	0	0	0	0	0	0	0	0	0	0	0	0
IAPLTR4_I	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0
L2b	0	0	0	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0	0
L2c	1	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0
LTRIS2	0	0	55	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
LTRIS3	0	0	7	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
