Repeat	AW146154	Gm13051	Gm13139	Gm13150	Gm13152	Gm13154	Gm13157	Gm13225	Gm13251	Gm14295	Gm14399	Gm14401	Gm14419	Gm14420	Gm14443	Gm21082	Gm30910	Gm4631	Gm8893	LOC102	Rex2	Zfp273	Zfp429	Zfp456	Zfp457	Zfp458	Zfp46	Zfp493	Zfp534	Zfp58	Zfp595	Zfp599	Zfp600	Zfp617	Zfp661	Zfp712	Zfp738	Zfp759	Zfp808	Zfp810	Zfp874a	Zfp874b	Zfp882	Zfp92	Zfp931	Zfp935	Zfp938	Zfp953	Zfp961
HAL1-2a_MD	1	1	1	1	1	1	1	1	1	1	1	1	1	4.04E-10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
L1Md_Gf	1	1	1	1	1	1	1	1	1	1	1	1	1.25E-09	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
L1Md_T	1	1	1	1	1	1	1	1	1	3.87E-07	1	1	2.00E-32	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
L1_Mur2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6.90E-07	1	1	1	1	1	1	1	1	1	1
Lx8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.097605969	1	1	9.54E-12	1	1	1	1	1	1
Lx9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.54E-07	1	1	1	1	1	1	1	1	1
L2b	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.63E-06	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTRIS2	1	1	4.37E-45	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTRIS4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.61E-57	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MMERGLN-int	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7.07E-75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MURVY-int	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.34E-18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MuRRS4-int	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.60E-43	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RLTR1D	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00329329	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8.54E-198	1	1	1	1
RLTR23	1	1	1	1	4.49E-19	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RLTR6-int	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.92E-08	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RLTR6_Mm	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.02E-72	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ETnERV-int	1	1.26E-40	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.025460287	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4.75E-84
ETnERV2-int	1	0	1.63E-23	1	1	0.00592274	1	1	1	1	1	0.218185886	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.27E-13	1	1	1	1	1	1	1	1	1	1	3.12E-67	1	1	1	1	1	1	1	1	1	1.43E-58
ETnERV3-int	1	4.77E-05	1	1	1	1.65E-18	0.181645632	1	1	1	1	1	1	4.45E-13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.298839884	1	1	1	1	1	1	1	1	8.11E-39	1	1	1	1	1	1	1	1	1	1.11E-09
IAPEY2_LTR	1	1	1	1	1	1.03E-16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IAPEY3-int	1	1	1	1	1	1	1	1	1	0.211855849	1	1	4.27E-21	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.72E-08	1	1	1	1	1	1	1	1	1	1
IAPEY3_LTR	1	1	1	1	1	0.643020137	1.18E-11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IAPEY_LTR	1	1	1	1	1	1.62E-18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.643020137	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
IAPEy-int	1	1	1	1	1	1	1	1	1	1	1	1	2.27E-28	0.746484886	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000243806	1	1	1	1	1	0.643020137	1	1	1	1
