D.O.B.	Dam	Dam Genotype	Sire	Sire Genotype	Wean Date	Ear Tag	Sex	Genotype
1/23/2016	NT	B6	R5925	Rex2#2	2/1/2016	R7267	M	KO/+
1/23/2016	NT	B6	R5925	Rex2#2	2/1/2016	R7268	M	KO/+
1/26/2016	NT	B6	R5923	Rex2#2	2/16/2016	R7266	M	KO/+
2/12/2016	NT	B6	R5395	Rex2#2 or #11	3/3/2016	R7289	F	KO/+
2/12/2016	NT	B6	R5395	Rex2#2 or #11	3/3/2016	R7290	F	WT
2/12/2016	NT	B6	R5395	Rex2#2 or #11	3/3/2016	R7291	F	WT
2/12/2016	NT	B6	R5395	Rex2#2 or #11	3/3/2016	R7292	F	WT
2/12/2016	NT	B6	R5395	Rex2#2 or #11	3/3/2016	R7293	F	KO/+
2/12/2016	NT	B6	R5395	Rex2#2 or #11	3/3/2016	R7294	F	KO/+
2/12/2016	NT	B6	R5395	Rex2#2 or #11	3/3/2016	R7295	F	WT
2/12/2016	NT	B6	R5395	Rex2#2 or #11	3/3/2016	R7296	M	WT
2/12/2016	NT	B6	R5395	Rex2#2 or #11	3/3/2016	R7297	M	KO/+
2/12/2016	NT	B6	R5395	Rex2#2 or #11	3/3/2016	R7298	M	KO/+
02/17/16	NT	B6	?	Rex2	3/4/2016	R7712	F	KO/+
02/17/16	NT	B6	?	Rex2	3/4/2016	R7713	F	KO/+
02/17/16	NT	B6	?	Rex2	3/4/2016	R7714	F	KO/+
02/17/16	NT	B6	?	Rex2	3/4/2016	R7715	F	KO/+
3/14/2016 and 3/18/16	NT	B6	R5925	Rex2	4/4/2016	R7813	M	KO/+
3/14/2016 and 3/18/16	NT	B6	R5925	Rex2	4/4/2016	R7814	M	KO/+
3/14/2016 and 3/18/16	NT	B6	R5925	Rex2	4/4/2016	R7815	M	KO/+
3/14/2016 and 3/18/16	NT	B6	R5925	Rex2	4/4/2016	R7816	M	KO/+
3/14/2016 and 3/18/16	NT	B6	R5925	Rex2	4/4/2016	R7817	F	KO/+
3/14/2016 and 3/18/16	NT	B6	R5925	Rex2	4/4/2016	R7818	F	KO/+
3/14/2016 and 3/18/16	NT	B6	R5925	Rex2	4/4/2016	R7819	F	KO/+
3/14/2016 and 3/18/16	NT	B6	R5925	Rex2	4/4/2016	R7820	F	KO/+
5/20/2016	R7712 R7713	Rex2-cl KO/+	R7298	Rex2-cl KO/+	6/12/2016	T2372	M	WT
5/20/2016	R7712 R7713	Rex2-cl KO/+	R7298	Rex2-cl KO/+	6/12/2016	T2373	M	KO/+
5/20/2016	R7712 R7713	Rex2-cl KO/+	R7298	Rex2-cl KO/+	6/12/2016	T2374	M	KO/KO
5/20/2016	R7712 R7713	Rex2-cl KO/+	R7298	Rex2-cl KO/+	6/12/2016	T2375	M	WT
5/20/2016	R7712 R7713	Rex2-cl KO/+	R7298	Rex2-cl KO/+	6/12/2016	T2377 (!)	M	KO/+
5/20/2016	R7712 R7713	Rex2-cl KO/+	R7298	Rex2-cl KO/+	6/12/2016	T2376 (!)	F	KO/+
5/20/2016	R7712 R7713	Rex2-cl KO/+	R7298	Rex2-cl KO/+	6/12/2016	T2378	F	WT
5/20/2016	R7712 R7713	Rex2-cl KO/+	R7298	Rex2-cl KO/+	6/12/2016	T2379	F	KO/KO
5/20/2016	R7712 R7713	Rex2-cl KO/+	R7298	Rex2-cl KO/+	6/12/2016	T2380	F	KO/+
5/20/2016	R7712 R7713	Rex2-cl KO/+	R7298	Rex2-cl KO/+	6/12/2016	T2381	F	WT
5/20/2016	R7712 R7713	Rex2-cl KO/+	R7298	Rex2-cl KO/+	6/12/2016	T2382	F	KO/+
5/20/2016	R7712 R7713	Rex2-cl KO/+	R7298	Rex2-cl KO/+	6/12/2016	T2383	F	KO/+
5/20/2016	R7712 R7713	Rex2-cl KO/+	R7298	Rex2-cl KO/+	6/12/2016	T2384	F	KO/+
6/16/16 6/19/16	R7818  R7820	Rex2-cl KO/+	R7873	Rex2-cl KO/+	7/10/2016	T2594	F	KO/KO
6/16/16 6/19/16	R7818  R7820	Rex2-cl KO/+	R7873	Rex2-cl KO/+	7/10/2016	T2595	F	KO/+
6/16/16 6/19/16	R7818  R7820	Rex2-cl KO/+	R7873	Rex2-cl KO/+	7/10/2016	T2596	F	WT
6/16/16 6/19/16	R7818  R7820	Rex2-cl KO/+	R7873	Rex2-cl KO/+	7/10/2016	T2597	F	KO/KO
6/16/16 6/19/16	R7818  R7820	Rex2-cl KO/+	R7873	Rex2-cl KO/+	7/10/2016	T2598	F	KO/+
6/16/16 6/19/16	R7818  R7820	Rex2-cl KO/+	R7873	Rex2-cl KO/+	7/10/2016	T2599	M	KO/+
6/16/16 6/19/16	R7818  R7820	Rex2-cl KO/+	R7873	Rex2-cl KO/+	7/10/2016	T2600	M	KO/KO
6/16/16 6/19/16	R7818  R7820	Rex2-cl KO/+	R7873	Rex2-cl KO/+	7/10/2016	T2601	M	KO/KO
6/16/16 6/19/16	R7818  R7820	Rex2-cl KO/+	R7873	Rex2-cl KO/+	7/10/2016	T2602	M	WT
6/18/2016	R7817 R7819	Rex2-cl KO/+	R7814	Rex2-cl KO/+	7/9/2016	T2608	M	KO/+
6/18/2016	R7817 R7819	Rex2-cl KO/+	R7814	Rex2-cl KO/+	7/9/2016	T2609	M	KO/KO
6/18/2016	R7817 R7819	Rex2-cl KO/+	R7814	Rex2-cl KO/+	7/9/2016	T2610	M	KO/KO
6/18/2016	R7817 R7819	Rex2-cl KO/+	R7814	Rex2-cl KO/+	7/9/2016	T2611	M	KO/+
6/18/2016	R7817 R7819	Rex2-cl KO/+	R7814	Rex2-cl KO/+	7/9/2016	T2612	F	KO/+
6/18/2016	R7817 R7819	Rex2-cl KO/+	R7814	Rex2-cl KO/+	7/9/2016	T2613	F	KO/KO
6/18/2016	R7817 R7819	Rex2-cl KO/+	R7814	Rex2-cl KO/+	7/9/2016	T2614	F	KO/+
6/18/2016	R7817 R7819	Rex2-cl KO/+	R7814	Rex2-cl KO/+	7/9/2016	T2615	F	WT
6/5/2016	R7293 R7294	Rex2-cl KO/+	R7297	Rex2-cl KO/+	6/28/2016	T2668	F	KO/KO
6/5/2016	R7293 R7294	Rex2-cl KO/+	R7297	Rex2-cl KO/+	6/28/2016	T2669	F	KO/KO
6/5/2016	R7293 R7294	Rex2-cl KO/+	R7297	Rex2-cl KO/+	6/28/2016	T2670	F	WT
6/5/2016	R7293 R7294	Rex2-cl KO/+	R7297	Rex2-cl KO/+	6/28/2016	T2671	F	KO/+
6/5/2016	R7293 R7294	Rex2-cl KO/+	R7297	Rex2-cl KO/+	6/28/2016	T2672	M	KO/KO
6/5/2016	R7293 R7294	Rex2-cl KO/+	R7297	Rex2-cl KO/+	6/28/2016	T2673	M	KO/KO
6/5/2016	R7293 R7294	Rex2-cl KO/+	R7297	Rex2-cl KO/+	6/28/2016	T2674	M	KO/KO
6/5/2016	R7293 R7294	Rex2-cl KO/+	R7297	Rex2-cl KO/+	6/28/2016	T2675	M	KO/+
5/21/2016	R7289	Rex2-cl KO/+	R5925 	Rex2-cl. KO/+ (Chim.)	6/18/2016	T2676	F	KO/KO
5/21/2016	R7289	Rex2-cl KO/+	R5925 	Rex2-cl. KO/+ (Chim.)	6/18/2016	T2677	F	KO/+
5/21/2016	R7289	Rex2-cl KO/+	R5925 	Rex2-cl. KO/+ (Chim.)	6/18/2016	T2678	F	WT
5/21/2016	R7289	Rex2-cl KO/+	R5925 	Rex2-cl. KO/+ (Chim.)	6/18/2016	T2679	F	KO/+
5/21/2016	R7289	Rex2-cl KO/+	R5925 	Rex2-cl. KO/+ (Chim.)	6/18/2016	T2680	M	KO/KO
5/21/2016	R7289	Rex2-cl KO/+	R5925 	Rex2-cl. KO/+ (Chim.)	6/18/2016	T2681	M	WT
5/21/2016	R7289	Rex2-cl KO/+	R5925 	Rex2-cl. KO/+ (Chim.)	6/18/2016	T2682	M	KO/KO
5/21/2016	R7289	Rex2-cl KO/+	R5925 	Rex2-cl. KO/+ (Chim.)	6/18/2016	T2683	M	KO/+
5/21/2016	R7289	Rex2-cl KO/+	R5925 	Rex2-cl. KO/+ (Chim.)	6/18/2016	T2684	M	WT
7/8/2016	R7712 R7713	Rex2-cl KO/+	R7298	Rex2-cl KO/+	7/29/2016	T2750	F	WT
7/8/2016	R7712 R7713	Rex2-cl KO/+	R7298	Rex2-cl KO/+	7/29/2016	T2751	M	KO/+
7/8/2016	R7712 R7713	Rex2-cl KO/+	R7298	Rex2-cl KO/+	7/29/2016	T2752	M	KO/+
7/8/2016	R7712 R7713	Rex2-cl KO/+	R7298	Rex2-cl KO/+	7/29/2016	T2753	M	WT
7/8/2016	R7712 R7713	Rex2-cl KO/+	R7298	Rex2-cl KO/+	7/29/2016	T2754	M	KO/KO
7/8/2016	R7712 R7713	Rex2-cl KO/+	R7298	Rex2-cl KO/+	7/29/2016	T2755	M	KO/KO
7/16/2016	R7289	Rex2-cl KO/+	R5925 	Rex2-cl. KO/+ (Chim.)	8/15/2016	T2762	M	WT
7/16/2016	R7289	Rex2-cl KO/+	R5925 	Rex2-cl. KO/+ (Chim.)	8/15/2016	T2763	M	KO/+
7/16/2016	R7289	Rex2-cl KO/+	R5925 	Rex2-cl. KO/+ (Chim.)	8/15/2016	T2764	M	KO/KO
7/16/2016	R7289	Rex2-cl KO/+	R5925 	Rex2-cl. KO/+ (Chim.)	8/15/2016	T2765	M	KO/KO
7/16/2016	R7289	Rex2-cl KO/+	R5925 	Rex2-cl. KO/+ (Chim.)	8/15/2016	T2766	M	KO/KO
7/16/2016	R7289	Rex2-cl KO/+	R5925 	Rex2-cl. KO/+ (Chim.)	8/15/2016	T2767	M	KO/KO
7/16/2016	R7289	Rex2-cl KO/+	R5925 	Rex2-cl. KO/+ (Chim.)	8/15/2016	T2768	M	KO/+
7/16/2016	R7289	Rex2-cl KO/+	R5925 	Rex2-cl. KO/+ (Chim.)	8/15/2016	T2769	F	KO/+
7/16/2016	R7289	Rex2-cl KO/+	R5925 	Rex2-cl. KO/+ (Chim.)	8/15/2016	T2770	F	KO/+
7/16/2016	R7289	Rex2-cl KO/+	R5925 	Rex2-cl. KO/+ (Chim.)	8/15/2016	T2771	F	KO/+
7/16/2016	R7289	Rex2-cl KO/+	R5925 	Rex2-cl. KO/+ (Chim.)	8/15/2016	T2772	F	KO/KO
7/20/2016	R7293 R7294	Rex2-cl KO/+	R7297	Rex2-cl KO/+	8/15/2016	T2773	M	WT
7/20/2016	R7293 R7294	Rex2-cl KO/+	R7297	Rex2-cl KO/+	8/15/2016	T2774	M	KO/+
7/20/2016	R7293 R7294	Rex2-cl KO/+	R7297	Rex2-cl KO/+	8/15/2016	T2775	M	KO/KO
7/20/2016	R7293 R7294	Rex2-cl KO/+	R7297	Rex2-cl KO/+	8/15/2016	T2776	M	WT
7/20/2016	R7293 R7294	Rex2-cl KO/+	R7297	Rex2-cl KO/+	8/15/2016	T2777	M	KO/+
7/20/2016	R7293 R7294	Rex2-cl KO/+	R7297	Rex2-cl KO/+	8/15/2016	T2778	F	KO/+
7/20/2016	R7293 R7294	Rex2-cl KO/+	R7297	Rex2-cl KO/+	8/15/2016	T2779	F	WT
7/20/2016	R7293 R7294	Rex2-cl KO/+	R7297	Rex2-cl KO/+	8/15/2016	T2780	F	KO/+
7/20/2016	R7293 R7294	Rex2-cl KO/+	R7297	Rex2-cl KO/+	8/15/2016	T2781	F	WT
7/20/2016	R7293 R7294	Rex2-cl KO/+	R7297	Rex2-cl KO/+	8/15/2016	T2782	F	KO/+
7/20/2016	R7293 R7294	Rex2-cl KO/+	R7297	Rex2-cl KO/+	8/15/2016	T2783	F	WT
7/20/2016	R7293 R7294	Rex2-cl KO/+	R7297	Rex2-cl KO/+	8/15/2016	T2784	F	WT
7/19/2016	R7712 R7713	Rex2-cl KO/+	R7298	Rex2-cl KO/+	8/15/2016	T2791	M	KO/+
7/19/2016	R7712 R7713	Rex2-cl KO/+	R7298	Rex2-cl KO/+	8/15/2016	T2792	M	KO/KO
7/19/2016	R7712 R7713	Rex2-cl KO/+	R7298	Rex2-cl KO/+	8/15/2016	T2793	M	KO/+
7/19/2016	R7712 R7713	Rex2-cl KO/+	R7298	Rex2-cl KO/+	8/15/2016	T2794	F	WT
7/19/2016	R7712 R7713	Rex2-cl KO/+	R7298	Rex2-cl KO/+	8/15/2016	T2795	F	KO/+
7/19/2016	R7712 R7713	Rex2-cl KO/+	R7298	Rex2-cl KO/+	8/15/2016	T2796	F	WT
7/19/2016	R7712 R7713	Rex2-cl KO/+	R7298	Rex2-cl KO/+	8/15/2016	T2797	F	KO/+
7/16/2016	R7818  R7820	Rex2-cl KO/+	R7873	Rex2-cl KO/+	8/3/2016	T2803	M	KO/KO
