Repeat	AW146154	Gm13051	Gm13139	Gm13150	Gm13152	Gm13154	Gm13157	Gm13225	Gm13251	Gm14295	Gm14399	Gm14401	Gm14419	Gm14420	Gm14443	Gm21082	Gm30910	Gm4631	Gm8893	LOC102	Rex2	Zfp273	Zfp429	Zfp456	Zfp457	Zfp458	Zfp46	Zfp493	Zfp534	Zfp58	Zfp595	Zfp599	Zfp600	Zfp617	Zfp661	Zfp712	Zfp738	Zfp759	Zfp808	Zfp810	Zfp874a	Zfp874b	Zfp882	Zfp92	Zfp931	Zfp935	Zfp938	Zfp953	Zfp961
LINE:L1:HAL1-2a_MD	1	1	1	1	1	1	1	1	1	1	1	1	1	4.04385376744186e-10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LINE:L1:L1Md_Gf	1	1	1	1	1	1	1	1	1	1	1	1	1.25064586865672e-09	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LINE:L1:L1Md_T	1	1	1	1	1	1	1	1	1	3.86776657647059e-07	1	1	1.99549267272727e-32	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LINE:L1:L1_Mur2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6.89724572727273e-07	1	1	1	1	1	1	1	1	1	1
LINE:L1:Lx8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0976059688709677	1	1	9.53972270588235e-12	1	1	1	1	1	1
LINE:L1:Lx9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.54157906933333e-07	1	1	1	1	1	1	1	1	1
LINE:L2:L2b	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.63444488125e-06	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:ERV1:LTRIS2	1	1	4.37170292881356e-45	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:ERV1:LTRIS4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.60827872592593e-57	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:ERV1:MMERGLN-int	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7.06546791363636e-75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:ERV1:MURVY-int	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.33729742330097e-18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:ERV1:MuRRS4-int	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.6045808e-43	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:ERV1:RLTR1D	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00329329	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8.5437352e-198	1	1	1	1
LTR:ERV1:RLTR23	1	1	1	1	4.4933809257732e-19	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:ERV1:RLTR6-int	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.91809611527778e-08	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:ERV1:RLTR6_Mm	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.01963927111111e-72	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:ERVK:ETnERV-int	1	1.26492275e-40	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0254602874324324	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4.75139232195122e-84
LTR:ERVK:ETnERV2-int	1	0	1.63258063255814e-23	1	1	0.00592274025	1	1	1	1	1	0.218185886231884	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.26774316363636e-13	1	1	1	1	1	1	1	1	1	1	3.1159492e-67	1	1	1	1	1	1	1	1	1	1.42645212830189e-58
LTR:ERVK:ETnERV3-int	1	4.77220855681818e-05	1	1	1	1.65245135151515e-18	0.181645631685393	1	1	1	1	1	1	4.45023005945946e-13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.29883988409894	1	1	1	1	1	1	1	1	8.10875133939394e-39	1	1	1	1	1	1	1	1	1	1.10792308421053e-09
LTR:ERVK:IAPEY2_LTR	1	1	1	1	1	1.03298104e-16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:ERVK:IAPEY3-int	1	1	1	1	1	1	1	1	1	0.21185584875	1	1	4.266472e-21	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.71747401103448e-08	1	1	1	1	1	1	1	1	1	1
LTR:ERVK:IAPEY3_LTR	1	1	1	1	1	0.643020137003058	1.17741921818182e-11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:ERVK:IAPEY_LTR	1	1	1	1	1	1.6218995e-18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.643020137003058	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:ERVK:IAPEy-int	1	1	1	1	1	1	1	1	1	1	1	1	2.26619281265823e-28	0.746484885714286	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000243806013480663	1	1	1	1	1	0.643020137003058	1	1	1	1
LTR:ERVK:IAPEz-int	1	1	1	1	1	1	1	1	1	1	2.37363436470588e-117	0	0	0.0360428630837004	1.07241460138507e-314	1	1	1.79054128842105e-208	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:ERVK:IAPLTR1_Mm	1	1	1	0.00133395901333333	1	1	1	1	1	1	0.806671612034384	1	2.49482218461538e-05	0.0661169831355932	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:ERVK:IAPLTR1a_Mm	1	1	1	3.35301042631579e-94	1	1	1	1	1	1	1	1	2.78690997254902e-18	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:ERVK:IAPLTR2_Mm	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.51611096e-39	1	1	1	1	1	1	1.3964986672e-173	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:ERVK:IAPLTR2a	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.33229212794118e-09	1	1	1	1	1	1	0.44503265050505	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:ERVK:IAPLTR2b	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.34146770114943e-23	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:ERVK:IAPLTR3	1	1	1	1	1	1	9.8020286e-12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:ERVK:IAPLTR4	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.611259246728972	1	1	1
LTR:ERVK:IAPLTR4_I	1	1	1	1	1	1	0.00103319023626943	1	1	1	1	1	6.75053166666667e-80	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:ERVK:MMERVK10C-int	1	1	1.25314823283582e-38	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00308327014925373	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.84954588e-113	1	1	1	1	1	0.02769892125	1	1	1	1
LTR:ERVK:MMETn-int	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0882581925619835	1	1	1	1	1.3785758e-166	1	1	1	1	1	1	1	1	1	1	1	0.592885759375	1	1	1	6.78347943558282e-06	1	1	1	1	1	1	1	1	1	1	1	5.07685602666667e-140
LTR:ERVK:MMTV-int	1	1	1	1	1	1.923638325e-17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:ERVK:MYSERV6-int	2.43856993333333e-31	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:ERVK:MurERV4-int	3.29350385e-144	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:ERVK:MurERV4_19-int	1.69903825e-37	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.496650338410596	1	1	1	1	1
LTR:ERVK:RLTR10	1	1	1	1	1	1	1	1	4.96451905691057e-11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.87033358181818e-08	1	1	1
LTR:ERVK:RLTR13A	1	1	1	1	3.5334756275e-259	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:ERVK:RLTR13A2	1	1	1	1	1.60967271111111e-42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:ERVK:RLTR13A3	1	1	1	1	3.53479793333333e-174	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LTR:ERVK:RLTR13B1	1	1	1	1	0	1	1	1	1	1	1	0.0122229465046729	0.555553786666667	1	1	1	1	1	1	0.868163149575071	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
