TE	KAP1_Mean	KAP1_log2fold	KAP1_qvalue	H3K9me3_Mean	H3K9me3_log2fold	H3K9me3_qvalue
RLTR27	12847.33247	-0.765620788	2.16411E-78	11823.54436	-0.097310094	NA
RLTR10-int	49568.11497	-0.304168616	1.12944E-17	64794.66803	-0.269719488	7.57564E-06
IAPEz-int	515286.9161	-0.253268365	9.13697E-06	896846.8378	-0.169218282	0.034556194
RLTR1D	6726.252717	-0.231275733	2.19124E-10	8387.711451	-0.309815359	NA
RLTR10	27234.43012	-0.199595936	6.24235E-08	31942.29252	-0.242231711	4.84326E-05
RLTR13B1	18093.65608	-0.197854668	6.35529E-06	18401.49109	-0.061727775	0.605338875
IAPLTR2a	16562.55393	-0.196563168	0.002593708	22807.50688	-0.171797129	0.034556194
IAPLTR4_I	3959.010708	-0.194978868	0.000119573	7065.592666	-0.064237763	NA
IAPLTR1_Mm	28297.65714	-0.178291441	0.007848422	39591.39171	-0.186577762	0.015610983
RLTR13B4	5593.108131	-0.152884072	0.000217024	5371.327104	0.014578222	NA
IAPLTR2b	14680.60433	-0.149867433	0.079543963	18918.76363	-0.114465069	0.438599365
IAPLTR1a_Mm	44056.43915	-0.145394409	0.073167773	54297.42955	-0.14722135	0.095056553
LTRIS4	3009.178368	-0.139947791	0.082593639	3587.784671	-0.075889968	NA
MMERVK10C-int	78195.00144	-0.138704143	0.003906583	114168.1192	-0.14164803	0.095056553
IAPLTR2_Mm	45193.982	-0.133166473	0.213661942	64539.39529	-0.15586861	0.072728316
RLTR10E	6481.792653	-0.132942511	0.007848422	9016.301018	-0.133000355	NA
LTRIS2	27915.68583	-0.120644428	0.342936692	33599.0762	-0.067062072	0.605338875
RLTR1	3947.27624	-0.116917163	0.260263872	4713.02944	-0.071546233	NA
MLT1G3-int	397.4486449	-0.113061414	0.453693866	326.1100743	0.025659732	NA
RLTR13C2	12633.7452	-0.112941825	0.034570695	11329.12099	-0.048038847	NA
LTRIS3	2607.9001	-0.110683897	0.313818002	3195.93051	-0.035705142	NA
MMETn-int	59993.79813	-0.104487972	0.228163237	90657.43851	-0.085140812	0.506622449
LTR53	1356.242888	-0.101839587	0.370363054	1020.269394	0.005206249	NA
RLTR13B2	6762.065968	-0.100181783	0.404066396	7730.494576	-0.060832397	NA
MLT1E1A-int	176.3725596	-0.095701313	0.581479385	125.5512903	-0.072161046	NA
MLT1I-int	363.4251968	-0.094032156	0.805892716	307.1108097	-0.009198448	NA
MURVY-int	3278.950048	-0.093978692	0.532424602	5217.593436	-0.080897702	NA
RLTR4_MM-int	16809.38695	-0.093563929	0.470055881	28903.90972	-0.100328012	0.505578316
RLTR13D6	21704.71265	-0.090617793	0.287487774	19875.79001	-0.059225639	0.605338875
IAPEY3_LTR	9092.010941	-0.090303598	0.489884024	10334.79462	-0.067409587	NA
RLTR6-int	48863.34416	-0.086828418	0.476520059	92306.29715	-0.117146123	0.417258063
RLTR9B2	3200.353816	-0.085635518	0.476520059	2627.630876	-0.106972902	NA
Charlie13b	514.9100193	-0.085511822	0.88900901	383.9087327	-0.047090938	NA
RLTR9E	15721.17759	-0.084844443	0.404066396	15980.9636	-0.083403482	0.506622449
RLTRETN_Mm	26945.92813	-0.084377969	0.22590595	33580.39302	-0.069169267	0.579767864
IAPEY_LTR	12789.12572	-0.082543123	0.88900901	9041.376107	-0.040858759	NA
MER57E1	730.249557	-0.080883914	0.88900901	585.2347608	-0.0128288	NA
RLTR9D	8584.46924	-0.080774302	0.546904388	7712.15235	-0.088376791	NA
RNLTR23	1731.990147	-0.079583984	0.829972136	1499.453152	-0.053290581	NA
RLTR44B	1645.059021	-0.078377754	0.829972136	1684.575076	-0.059331128	NA
MER88	296.1749719	-0.077648667	0.940706763	267.6648139	-0.108986921	NA
MER90	1235.163331	-0.077475415	0.88900901	915.6627659	0.043349796	NA
LTRIS5	2065.449027	-0.076930933	0.818441354	2371.128627	-0.096008032	NA
RLTR9B	2213.483073	-0.076381886	0.829972136	1879.310884	-0.034089841	NA
AluG_3	777.9712172	-0.076198084	0.940706763	556.7722546	-0.033994331	NA
RLTR13D2	4985.208782	-0.075385479	0.463253659	5044.735709	-0.044822076	NA
MER67A	940.6123462	-0.07421915	0.940706763	733.221119	-0.107588885	NA
RLTR13B3	5074.518008	-0.073801306	0.546904388	5223.982589	0.011082342	NA
RLTR13D4	3721.249051	-0.072721627	0.700582775	3396.629125	-0.072951975	NA
L1MEg2	492.2762592	-0.07147979	0.998128723	386.7521754	0.010845538	NA
L1Md_Gf	37388.71879	-0.071088916	0.305531591	48490.66496	-0.111319266	0.388935144
RLTR5_Mm	1889.140733	-0.070910383	0.966766799	2463.071714	-0.082230908	NA
IAPLTR3-int	15341.77732	-0.069970714	0.88900901	23786.15691	-0.070093537	0.578078726
MER65D	457.6656443	-0.069813471	0.998128723	349.7921448	-0.01590658	NA
Zaphod2	813.7179	-0.068796494	0.998128723	683.6393746	-0.03980582	NA
Tigger12	412.3502547	-0.067095624	0.998128723	328.7068045	-0.009708836	NA
RLTR1B	20017.71672	-0.065706853	0.88900901	29001.27821	-0.041865062	0.819044337
IAP-d-int	27292.45585	-0.065554596	0.770908775	40384.19877	-0.088446778	0.506622449
MLT1D-int	1064.374304	-0.064757528	0.998128723	842.7287766	-0.085107062	NA
RLTR47_MM	5150.877963	-0.064398507	0.818441354	5028.590597	-0.037944382	NA
IAPEy-int	17070.00158	-0.064195928	0.940706763	28271.80665	-0.085460221	0.506622449
RLTR13A2	4123.19336	-0.063502433	0.940706763	5204.9582	-0.053375213	NA
RLTR45	15663.06572	-0.062860406	0.88900901	20125.23001	-0.053725341	0.688259486
MER57F	825.8258571	-0.06250282	0.998128723	707.239618	0.040707438	NA
RLTR10B2	7064.536008	-0.060908791	0.904010434	9657.458785	-0.053597144	NA
RLTR10B	2531.001978	-0.060686648	0.973942119	3056.718229	-0.207435688	NA
ETnERV2-int	110376.4347	-0.060648461	0.88900901	171135.2694	-0.073293645	0.578078726
RLTR9C	6205.573159	-0.060386071	0.88900901	6242.921287	-0.074757567	NA
Charlie14a	307.2629867	-0.060129044	0.998128723	261.9181928	0.012261004	NA
ETnERV-int	11461.86013	-0.059629151	0.940706763	17609.96451	-0.079668414	0.534196354
RLTR10C	21140.89904	-0.058496025	0.546904388	31940.03973	-0.085274427	0.506622449
Kanga1b	549.6209047	-0.057354448	0.998128723	431.9322754	-0.072738685	NA
RLTR46	4365.102012	-0.056809799	0.940706763	5118.570315	-0.007879851	NA
RLTR13D1	11382.841	-0.056691053	0.88900901	9360.879001	-0.021177476	NA
MER92C	317.143443	-0.056520086	0.998128723	225.0761067	-0.041856571	NA
MER47A	570.415111	-0.056438348	0.998128723	497.128063	-0.014044367	NA
LTR81C	426.1107929	-0.055146079	0.998128723	323.437399	-0.034688441	NA
MLT1F2-int	431.4095403	-0.054960465	0.998128723	309.8799181	-0.047897002	NA
RLTR44-int	7880.100805	-0.054725024	0.934530348	11634.1474	-0.079193662	NA
LTR81B	918.2982073	-0.054652963	0.998128723	724.9347065	-0.015918932	NA
